Cause,Title,Summary
Caught in/between Objects,Died being crushed by mirrors,Accident occured in which the victim was crushed by 100 pieces of mirrors weighing 2 tonnes while unloading them.
Falls,Died falling from height,"The victim, who was standing on a wagon pulled by a tractor, fell down to the ground. At that time, the tractor made turn and the victim lost balance causing the fall."
Struck By Moving Objects,Killed by moving truck,Initial investigations revealed that the victim was likely hit by a truck without being noticed by the truck driver. Rain in the morning and afternoon caused slippery and muddy soil conditions that may result in the victim slipping and fell towards the moving truck.
Caught in/between Objects,Died caught between roller conveyer,Victim was instructed by supervisor to change the position of an uneven conveyor belt with an adjustable spanner at the conveyor roller adjuster. The batching plant is in operation when this activity was undertaken. The victim tried to clean out stones under the conveyor roller using an air hose. Suddenly the victim's head hit the top of the conveyor belt while the air hose was caught by the roller causing the victim to be pulled by the air hose and eventually he was pinched.
Electrocution,Died due to electric shock,Victim was allegedly electrocuted while cleaning the pipeline of new installed air conditioner.
Other,Died due to severe burns,"Accident happened due to the problem of a ""top valve"" pad of column 3 in L2 section where the valve could not be closed. The victim went alone to L2 area. Afterwards the victim suddenly ran back to the control room and fell down before reaching the control room. The victim is believed to had opened the wrong valve."
Struck By Moving Objects,Died hit by lorry,A contractor died after being hit by a lorry
Falls,Died falling from scaffolds,Victims was a sub-contractor employees was doing welding work on a warehouse door. The door fell onto the scaffold and caused victim who was on the scaffold to fall down about 10 feet to the ground.
Fires and Explosion,Died due to fire,A fire incident took place inside a building under construction. The victim who working inside the area was found dead.
Collapse of object,Death due to structural collapse,Concrete wall of a building next to the car wash collapsed and struck the victim.
Caught in/between Objects,Died due to caught in the lift,"Incident occured when the lift suddenly stopped between floor 2 and floor 3. Victim climbed out of the lift when suddenly the lift started moving downwards and caused the victim's head to be caught between the ""header car door"" and ""door hanger landing"". He died at the scene."
Struck By Moving Objects,Died being hit by object,"The victim is believed to be lifting a pipe using a tractor at the time of the incident. He was trying to loose the chain once the pipe was laid on the ground, then suddenly the bucket at the back of the tractor alighted and hit the victim's head."
Electrocution,Worker electrocuted to death,The victim may have suffered electrocution while cutting a cable running with electrical current causing the victims left hand to be stuck to the cable.
Struck By Moving Objects,Died after right hand was cut off in Conveyor Belt,"The incident occured when the victim was cleaning wood chips at a conveyor belt. The victim was too close to the conveyor, resulting the shirt worn being pulled in by the conveyor belt. This caused the victim's right hand to be cut off."
Other,Killed being thrown from tractor seat,The victim was thrown away from a tractor's seat while driving down a steep path.
Caught in/between Objects,Died caught between objects,Victim who is a foreign worker was pinned between a gantry crane motor and a pile of iron. The crane operator didn't realize the victim was there at the time of incident.
Falls,Died falling for height,"The victim is believed to have died after falling from a height of about 10.80 meters from the floor level. At the time, the victim was undertaking cleaning works at a reserve water tank."
Collapse of object,Collapse of Reinforced Concrete Coping,"A building structure collapsed while two workers were opening the mold of RC Coping while their position was exactly above the structure. As a result, the two workers fall down to the ground. One of them suffered minor injuries while another was killed after the structure collapsed on him."
Caught in/between Objects,Died caught in a crane cabin,The incident took place when the victim who worked as a crane operator was trying to lift a 7 tonne Vibrohammer using a crawler crane. Suddenly the crane overturned and trapped the operator inside the crane cabin.
Struck By Moving Objects,Died in car accident,The victim was on his way to conduct pesticide spraying when he was hit by a four wheel drive.
Electrocution,Died due to electrocution,Victim was found dead due to electrocution. Victim is believed to be in the middle of checking the condition of lights which were malfunctioned.
Other,Sky Lift overturned while doing roof repairing works,Victim caught in the cage after the sky lift overturned.
Suffocation,Died after inhaling toxic gas,2 victims died after inhaling toxic gas while transfering schedule wastes into the storage.
Suffocation,Died due to suffocation,"An explosion and fire broke out at a factory. During the time, the victim was working inside and he failed to escape. He is believed died due to suffocation."
Struck By Moving Objects,Died hit by car,Two workers died after being hit by a vehicle. Atthe time they were on the road shoulder fixing their lawnmower
Other,Died being buried,Victim died due to suffocation when he accidentally fell into a ditch which the victim himself digged and the surrounding earth afterwards fell into the ditch burying the victim.
Falls,Died falling from height,Victim fell off from the 24th floor while performing the installation of a curtain wall.
Struck By Moving Objects,Died struck by moving object,Victim was carrying out visual inspection on arailway when train suddenly came and hit him. He died at the scene.
Falls,Died falling from height,"Victim fell from a height of 15 meters while coming down a roof. At the time of incident, victim was replacing the roof of a building."
Struck By Moving Objects,Killed being crushed by mechanical buffalo,Victim died at the scene due to being crushed by an overturned mechanical buffalo after it hit a rock.
Electrocution,Killed in an electrocution accident,Victim is believed to have died of electrocution while performing cutting of steel structure works.
Falls,Died falling from heights,Victim fell off the 4th floor of a building where he was working. He complained of headache before the incident. He is reported to have died in hospital.
Falls,Died falling from heights,"At the time of incident, victim was working on a scaffold when he fell from height of 12 feet. He was taken to the hospital for treatment and pronounced dead afterwards."
Falls,Died falling from height,"During the incident, the victim was carrying out works on a 'working platform' to install the 'lift core wall' in a lift pit. Suddenly the working platform collapsed causing the victim to fall down. The seriously injured victim was brought to the hospital for treatment and was confirmed to have died the following day."
Struck By Moving Objects,Died after crushed by lorry,The incident which happenes at 8.30 am involved a foreign worker who died after being crushed by a lorry filled with fertizilers.
Struck By Moving Objects,Died being pinned,The incident involved a foreign worker who died being pinned in cabin after a crawler crane fell over while lifting a load.
Struck By Moving Objects,Died crushed by tractor,Victim who is foreigner died after falling from and hit by a tractor. Victim was standing on the connection between the tractor and water tank.
Falls,Died falling from heights,The victim fell from a height of 5 metres while repairing floodlights in the workplace. The victim was taken to the hospital and was confirmed dead a day later.
Falls,Died falling into water,"The victim, a Malaysian citizen, fell into water and died. During the incident, the victim was on board a barge."
Falls,Died falling from height,"The victim, a Malaysian citizen, died after falling from a height of 3 metres. A steel pipe which was lifted by a mobile crane struck the victim causing the victim to fall. The victim died at the hospital after 2 days of being unconscious."
Struck By Moving Objects,Died struck by falling object,"The victim, a foreign citizen, died after jack rods fell onto the victim while carrying out works of arranging the jack rods."
Falls,Died falling from height,The victim died after falling from a ladder while carrying out works of bringing down an advertising sign of a shop.
Suffocation,Death by suffocation,"During the incident, the victim was carrying out piling works. Suddenly, the piling machine collapsed and the victim who was in the piling machine cabin could not escape as the cabin sinked into soft earth."
Other,Death after being stung by wasps,The victim died after being stung by wasps while patroling the plantation. The victim died at the scene.
Falls,Died falling from height,"The victim, a foreign citizen, fell from a height of 16 metres while carrying out works of dismantling aluminium formworks. The victim suffered internal bleedings and died on the way to the hospital."
Falls,Died falling from height,"The victim, a foreign worker, fell from a mobile scaffold as he was doing wiring works. The victim died in the hospital."
Falls,Died struck by falling object,"The victim, a foreign citizen, died after being struck by falling aluminium sheets. The victim suffered serious injuries to the head and was confirmed dead by the hospital after 2 days of treatment."
Other,Died after being buried,The victim during the incident climbed down into a newly dug hole to carry out works of installing sewage pipelines when suddenly the land and rocks buried the victim up to the chest. The victim was brought to the hospital and confirmed to have died due to internal injuries.
Drowning,Died due to drowning,"During the incident, the victim together with another colleague was repairing a sand processing machine on a platform located in the middle of the river. The victim usually crosses the river through a pipeline from the platform to the river banks. While crossing the river, the victim fell into the river and could not be saved."
Falls,Died after falling from height,"The victim, a foreign national, was killed after falling from a lift entrance opening. At the time, the victim was working on the second floor. The victim's body was found in the lift pit."
Falls,Died after falling from height,"The victim, a Malaysian citizen, died after falling from a height of approximately 3.5 metres. A ladder which the victim was climbing slid down and fell to the floor, bringing the victim down with it. The victim died 3 days later in the hospital due to internal bleeding in the brain."
Struck By Moving Objects,Killed after hit by lorry,"The victim died after being hit by a lorry that was reversing suddenly. At that time, the victim was situated direcly behind the lorry."
Struck By Moving Objects,Killed after struck by falling iron rods,"The incident happened at around 2.30 pm when the victim was walking towards his work location. Without realizing it, suddenly an iron rod fell down striking the victim. He suffered serious injuries to the head and died at the scene."
Drowning,Death by Drowning,"At approximately 11 am, an engineer died while diving as he was doing installation works of a catodic protection on a jetty structure. The victim was given CPR but failed to be rescued."
Caught in/between Objects,Died after getting caught between objects,The incident happened at approximately 4.45 pm when the victim died after getting caught between the loading bay and the rear part of a trailer.
Electrocution,Killed in an electrocution accident,"The victim, a foreign national, died of electrocution while doing inspection works of a water pump near a factory. The victim was given emergency medical assistance but died before arriving at the hospital."
Falls,Died due to falling from heights,"The incident happened at approximately around 1.00 pm, involving the victim who was at the time doing drilling works for installing explosives. A landslide occured causing the victim to fall with the landslide from a height of 100 ft. The victim's death was confirmed on the way to the hospital."
Falls,Died after falling from tree,"The victim who works as a coconut tree climber, coconut picker and leaf cutter died when he fell from a coconut tree at 9 metres high. The victim was unconscious and admitted to an intensive care unit (ICU). He was confirmed to have died the next day."
Struck By Moving Objects,Died after being hit by lorry,"During the incident, the victim was carrying out traffic controlling works at a road repairing site (for repairing pavements). While arranging safety cones by the road, he was hit by a reversing lorry. The victim suffered serious injuries and was confirmed dead at the scene."
Struck By Moving Objects,Killed after being hit by car,"During the incident, the victim, a construction worker was doing road cutting works for installation of new traffic lights. Suddenly a car, believed to be driven fast, came from behind and hit the victim. The victim was thrown as far as 30 metres and died at the scene."
Electrocution,Died by electrocution,"At around 4.30 pm, the two victims were carrying out installation works of a copper bar onto a wall for a new grounding system. Both of the victims were electrocuted; one of them died while the other suffered injuries to the lower part of the body."
Falls,Killed by falling dead tree branch,"At around 3.30 pm, the victim, a logger died after a dead tree branch fell onto him while he carrying out logging works."
Struck By Moving Objects,Died struck by falling steel I-Beam,"At approximately 2.35 pm, a foreign citizen was struck by a steel I-beam while he was transferring the steel onto a lorry. The victim who suffered serious injuries to the head died at the scene. He was then brought to Tengku Ampuan Hafzan Hospital for further investigation."
Falls,Died after falling into sludge holding tank,"At approximately 6.45pm, the 4 year old victim died when he fell into a sludge holding tank of a sewage treatment plant. The victim is believed to have sneaked into the plant through the drainage underneath the front gate."
Drowning,Died after vehicle plunges into river,"The victim drove a bulldozer through a 40-feet wide road which has a height of 200 metres and 80-degree slope. He is said to have wanted to overtake an excavator but failed. Hence, the victim reversed the bulldozer but it then plunged straight into a river. He was found dead at the scene."
Electrocution,Death due to electrocution,"The victim, a 28-year old local citizen died due to electrocution while installing Unifi cables from a Distribution Board (DB) situated on a telephone pole to a customer's house. The victim was later taken to Selayang Hospital for further actions."
Caught in/between Objects,Died crushed by tower crane,"The victim, a civilian, was crushed to death by a tower crane. The victim who was sleeping at the time died at the scene when the crane in a free standing condition suddenly collapsed onto the shop house inhabited by the victim"
Caught in/between Objects,Died crushed by container,"The victim, a foreign worker, was crushed by a container as it was lowered down by a mobile crane. The victim died at the scene and was taken to HUKM for further investigations."
Falls,Dies after falling off roof,"During the incident, the victim together with two other workers were installing air conditioning pipes on a roof of a factory building. The victim fell down due to stepping onto a broken roof. He suffered serious injuries and died in the hospital on the same day."
Caught in/between Objects,Died crushed by iron pipes,"The incident happened at around 10.15 am at a project site in Jalan Stonor, Kuala Lumpur. It happened on the 50th floor when the victim, a foreign national, was descending iron pipes using a winch. Suddenly, the wire rope of the winch fell off its drum hence the iron pipes crushed the victim who was nearby. The victim suffered serious injuries to the hands as well as a spinal fracture. He was sent to Kuala Lumpur Hospital for treatment, but his death was confirmed by 6.00pm."
Electrocution,Death due to electrocution,"The victim is a 25-year old local citizen who works as a welder with 2 years of experience. On the day of the incident, the victim was instructed by his supervisor to carry out cleaning works in the Plo work area. According to witnesses, the victim was found lying on his left side with both of his feet on the ""welding bad"". He was unconscious and his head was bleeding. There was a portable socket and a 3-pin plug underneath his body. The victim was rushed to Pontian Hospital and but his death was confirmed before he could get any treatment."
Electrocution,Died crushed by water tank,"The victim, a foreign worker, was crushed to death by a water tank sliding from a tractor. The victim was on his way home after he finished poisoning weeds in a oil palm estate."
Other,Pinched by body of truck,"During the incident, the victim, assisted by his colleague, was repairing a truck that had damaged its jack system. The jack was fully raised and the truck body was held by a metal barrier that was found on the truck body. As the repair works were being carried out, the victim was sitting on the long shaft but suddenly the truck body fell rapidly onto the victim. The victim, caught between the jack and the truck body died on the spot. The victim died due to serious bleeding after receiving a strong blow on the head."
Caught in/between Objects,Died by being crushed by falling object,"The incident occurred approximately at 2:20 pm when a crane operator was lifting a Concrete Pile Head to put onto a trailer. As the victim was arranging the Concrete Pile Head that was lifted onto the trailer using a Crawler Crane and was suspended to the Main Block (Big Block), suddenly the Single Line Block (Small Block) fell down onto the victim's head. The victim's helmet broke and he died at the scene."
Falls,Died from falling off an escalator,"The incident occurred at about 5.00 pm when the victim, 3, along with his youngest brother were playing near a barrier at level 2 alongside an escalator that goes down to level 1. At the same time, the victim's parents were at Level 2 near the scene of the incident. The victim is believed to have stood on the skirt pane on the outside part, and at the same time his hand was placed on the handrail that was moving downwards. As a result the victim lost his balanced and fell to the ground floor through the spacing (hole) located between the barrier and the ""return glass"" of the escalator at a height of 12 meters. The victim suffered severe injuries to his head and was sent to Putrajaya Hospital on the day of the incident for further treatment before being sent to the Kuala Lumpur Hospital (HKL), due to the increasingly critical situation. The death of the victim was confirmed at the Kuala Lumpur Hospital on 6th July 2011 at around 1.30 pm."
Falls,Died of falling from height,"On 02/06/2011 at about 11.00 am, the victim with one of his friends was cutting tree branches using a chainsaw while being carried in a man basket lifted by a crane. While working at a height of 21 metres, the victim suddenly fell down along with the man basket to the ground. The victim who suffered serious injuries to the head and body was rushed to the hospital. He died shortly after being admitted to Intensive Care Unit, Sultanah Bahiyah Alor Setar, Kedah at approximately 10.30 am 03/06/2011."
Struck By Moving Objects,Died rolled over by logging machine,"On the day of accident, the victim who worked as a machine logger driver was moving the logs that has been measured and cut into different sizes from 'log cutting' division to 'log peeling (rotary)' division. The victim during that time was working night shift started from 7.00 pm until 7.00 am. Around 7.15 pm, one of the workers noted that the machine logger was spinning 360 anticlockwise with the absence of a driver. The witness waited for the machine logger to stop spinning so that he can aboard the machine logger. Afterwards, the witness found the victim lying on his side on the ground. Victim is believed died rolled over by the front tyres of the machine logger. Victim was sent to Hospital Miri afterwards."
Struck By Moving Objects,Death due to being crushed by 'luffing boom',"The two victims, one a permenant resident and another a foreign national, died due to being crushed by a luffing boom (of a tower crane) that fell down unexpectedly. During the incident both victims were situated under the crane. Both of them died at the scene due to severe head injury."
Other,Death due to landslide,"The victim, 75, a Malaysian citizen, died when he was buried alive by a landslide. During the incident the victim was doing repairs due to a landslide in a plantation alone. Suddenly the victim was crushed by another landslide. The victim died at the scene."
Other,Died while in confined space,"The two victims both being Malaysian citizens, died when they entered a confined space. During the incident they were finishing up their work of cleaning sewerage pipes. Upon entering the confined space, it caused them to suffocate and become unconscious. Both victims died at the scene and were sent to hospital for autopsy."
